Site,IP Address,RS IP,Type
Chicago_LSMR_1,111.252.2.68,111.252.128.68    ,FDD
Chicago_LSMR_2,111.252.2.112,111.252.128.112   ,FDD
Chicago_LSMR_3,10.88.28.17,10.88.30.17,TDD
Chicago_LSMR_4,10.88.28.25,10.88.30.25,FDD
Chicago_LSMR_5,10.88.28.57,10.88.30.57,FDD
Chicago_LSMR_6,10.88.28.65,10.88.30.65,TDD
San Jose LSMR-1,10.158.10.6,10.158.11.6    ,FDD
San Jose LSMR-2,10.158.10.22,10.158.11.22    ,FDD
San Jose LSMR-3,10.158.10.38 , 10.158.11.38    ,FDD
San Jose LSMR-4,10.158.10.70,10.158.11.70,TDD
San Jose LSMR-5,10.158.10.86,10.158.11.86,FDD
San Jose LSMR-6,10.158.10.102,10.158.11.102,TDD
Tacoma_LSMR_1,10.158.2.6,10.158.3.6    ,FDD
Tacoma_LSMR_2,10.158.2.33,10.158.3.33   ,FDD
Tacoma_LSMR_3,10.158.2.49,10.158.3.49    ,FDD
Tacoma_LSMR_4,10.158.2.65,10.158.3.65,TDD
Tacoma_LSMR_5,10.158.2.81,10.158.3.81,TDD
Bayamon LSM,10.158.74.6,10.158.75.6    ,FDD
Akron_LSMR_1,10.158.34.21,10.158.35.21   ,FDD
Akron_LSMR_2,10.158.34.37,10.158.35.37   ,FDD
Akron_LSMR_3,10.158.34.53,10.158.35.53  ,FDD
Akron_LSMR_4,10.158.34.181,10.158.35.181,FDD
Akron_LSMR_5,10.158.34.213,10.158.35.213,TDD
Akron_LSMR_6,10.158.34.233,10.158.35.233,TDD
LCV,66.1.1.2,66.1.1.3,FDD
LCV,66.1.1.2,66.1.1.3,TDD
